MSOA_code,Burglary,Criminal Damage,Drugs,Other Notifiable Offences,Robbery,Theft and Handling,Violence Against the Person,MSOA_name,Total_yearly_income_2018,pc_change_inc,Total_crime
E02000066,0.7920900320545436,1.9648575631627176,0.9464898655585691,1.8924498283084608,0.762822671931644,0.7030048447617433,1.2038067120007063,Bexley 002,41400,56.10859728506787,683.0
E02000067,1.2151977079884708,1.4131617499363114,0.7569702320567947,1.8807011825608866,0.813439320732729,0.7900490480827161,1.0846755055225688,Bexley 003,45700,60.07005253940455,793.0
E02000068,0.7840130178680683,1.3181772036937411,1.7325427444503956,1.006000700014019,0.9204347119926831,0.9092891657950316,1.0292164805371715,Bexley 004,45100,57.033426183844014,1186.0
E02000069,1.115997284014348,2.176296538742257,1.0376445877632465,0.977506766329165,0.2090721849636087,0.7212526422103448,1.1281265990239118,Bexley 005,45800,54.468802698145026,356.0
E02000070,1.849112521119518,1.469971724605819,0.43289235145747945,2.0195988011479358,0.07753093525733823,0.7702978218806481,0.9882211349717337,Bexley 006,50100,54.77293790546802,320.0
E02000071,0.9911804158719035,1.561031919935383,1.940992254322622,1.0998495853766836,0.32933494622586146,0.6135115395509587,1.3013035830424244,Bexley 007,51300,61.47308781869688,452.0
E02000072,0.8011976966603358,1.7091195394777925,1.549007775183313,1.2706249523073765,0.5020107416023604,0.6562707747651955,1.306683025751762,Bexley 008,44200,70.19638043896805,939.0
E02000073,1.6694844476393365,1.4180903696197313,0.8080657227206284,1.6156790409183486,0.5582227338528352,0.7895552674276644,0.9565980586526383,Bexley 009,57600,65.0429799426934,400.0
E02000074,1.0075395208870563,1.4813262299058045,0.6529824021984876,0.9038763865277473,0.25060504325604277,0.7780786079602506,1.3096425546292068,Bexley 010,44900,64.16819012797075,495.0
E02000075,1.5094796090771576,1.8666307614042146,0.45808714439944914,2.1700206898781236,0.1969039625583193,0.8660755933843267,0.8784187866415412,Bexley 011,53500,52.988275664855585,252.0
E02000077,1.831083870002202,0.985283892910865,0.8221101036581212,1.7702030121908405,0.6625789125849676,0.6247717249674891,1.1729627714798025,Bexley 013,51300,57.12098009188361,337.0
E02000078,1.3895483524655476,1.8952093145602824,0.8697380577227897,0.34050137848648016,0.2548962255035777,0.5100145396013424,1.4078766854391822,Bexley 014,55200,63.652534835458056,292.0
E02000079,0.49405545571716736,1.0855346226072267,0.6654550158513696,0.9552576703095488,0.7548247980218037,1.1512323999283773,1.063386073180152,Bexley 015,49900,45.14252472367656,1249.0
E02000080,1.094081984761009,1.108507636066384,0.3913151199615633,1.3787944879236824,0.7263298711319205,1.072165946223193,0.9452814801085551,Bexley 016,50600,52.6395173453997,649.0
E02000081,0.9976818017076492,1.9000896818939141,1.040427969168191,0.9601262045734656,0.6388815265840746,0.39671990826471154,1.581153815954774,Bexley 017,51400,58.348736906962415,466.0
E02000082,1.2539104271822525,1.8045688690813124,0.9447608011348231,0.5085749489414436,0.190357283496278,0.9456341547383916,0.9300904799733964,Bexley 018,58700,71.23687281213536,391.0
E02000083,0.9302866924090334,1.3908229202619637,0.7573707454070892,1.1573443679349993,0.44631564846552374,1.008044063201836,1.0206389711454096,Bexley 019,49600,62.091503267973856,945.0
E02000084,1.5458189329993854,1.569250860690308,1.175757003958586,1.4959991119614335,0.459442579302745,0.8737174368553648,0.8344978473094641,Bexley 020,54000,49.875104079933394,432.0
E02000085,1.084296347462754,1.1227378740444816,0.6648259498823419,1.5616712437390399,0.32473690160141666,1.0149648438392485,1.018229944305954,Bexley 021,51000,52.511961722488046,382.0
E02000086,1.697273135245812,1.5251211964414242,1.090752381625145,0.39144252959863074,0.19535353765628527,0.6166426133165294,1.2201029445950224,Bexley 022,56500,53.5743408534928,254.0
E02000087,2.058523487611958,1.5770498234113024,0.5383117323823579,0.9015347378579863,0.06427435047240475,0.7649762479816454,0.9503307909365482,Bexley 023,61700,58.97964442154085,386.0
E02000088,2.052892268344934,1.6799676852637933,0.24736705797570255,1.5979243261829819,0.3544271326049747,0.7886382462111399,0.8583406429468772,Bexley 024,59400,64.54293628808865,280.0
E02000089,1.8694324389340182,1.5298348265128434,0.5549901941762557,1.434034651702676,0.7156701716061991,0.8641161463404707,0.790576907977387,Bexley 025,59300,60.74817023583628,208.0
E02000090,0.9768589149651867,1.236412363304813,0.8182043417378143,1.5319938754707583,0.4587346554517393,1.0207336314597186,0.9891347446496737,Bexley 026,48100,38.8568129330254,649.0
E02000091,1.394500917876576,1.6906347856973598,0.4231941521376581,0.8099910592102012,0.7074105701687887,0.8262529250315167,1.0369277571027233,Bexley 027,50500,46.5467208357516,491.0
E02000092,1.2134268341355732,1.405817360913345,0.372380517382778,0.9621909921101828,0.3601436992598937,1.0104982179509578,0.9843957628363592,Bexley 028,43600,52.287809989521485,620.0
E02000093,0.9938382542451156,1.0188586508895783,0.8352100493236467,0.77074730634149,0.9295698697520656,1.1046906747900769,0.9151898056172334,Brent 001,50200,57.91129285938974,774.0
E02000094,0.9837149928708513,1.0671131201468653,0.6560750116811597,0.8072509000112493,0.7385896944677417,0.9798104906194983,1.1083053811428591,Brent 002,48300,53.62595419847328,739.0
E02000095,1.055329625332559,0.9747794756347757,1.4554600691771866,1.1061033654665884,1.2573620155454603,0.8093364012343027,1.117948062702263,Brent 003,50900,58.320373250388805,809.0
E02000096,1.3665496691876347,1.150256369206564,1.1730416298154946,0.6888665301481678,0.5729768887378345,0.954718624501804,0.9348161128970488,Brent 004,60700,54.06091370558376,433.0
E02000097,1.7179481555501692,1.1822079350178576,0.7464810371553149,0.6888665301481678,0.28648844436891724,0.8301901082624383,1.0443648761271718,Brent 005,50000,64.90765171503958,433.0
E02000098,1.6906171621664166,0.9974089950813767,1.288609790385055,1.156120959512235,0.8077641626811052,0.6449005020396125,1.154609995836742,Brent 006,47800,43.62980769230769,430.0
E02000099,1.5819574579818076,1.0199737086111766,1.6584659715573253,0.9397580578265804,0.6565946880016545,0.7669001629309541,1.0222204254376799,Brent 007,57200,76.37989515880358,529.0
E02000100,1.0804696149183863,1.1026413290276291,1.388727343021488,0.9718370170937434,0.522313669102068,0.6370884241118142,1.4028281976140098,Brent 008,61900,59.98966141121736,665.0
E02000101,0.7747834233195093,0.8128688599465371,1.4107576827756478,0.9346782845410313,1.0495374549524517,0.9896501589379264,1.0813531385260615,Brent 009,47200,66.31430584918957,851.0
E02000102,1.2679628716248124,1.3340919853565418,1.1131517608906614,0.8877357367683233,1.1518881809661679,0.628159533319338,1.2536290969355708,Brent 010,43400,64.76841305998481,560.0
E02000103,1.30576122281146,1.028387679166741,0.8044457169941546,1.5012116524212298,1.0661629192182167,0.8946548453898353,0.9953372453513212,Brent 011,45900,63.46153846153846,861.0
E02000104,1.2926540157457997,0.927089504906035,1.8247925009891457,1.3666859452653224,1.9182911816248633,0.5558850260994368,1.2008075372027665,Brent 012,50800,61.73193250557147,582.0
E02000105,1.1564482216773533,1.081565706550363,2.030504840712607,0.9715935099483929,0.7273260375932706,0.6941880479489012,1.194878453750839,Brent 013,50600,64.98206716661232,614.0
E02000106,0.8492454806624381,1.3807413169950162,1.1674364590203925,0.7938235729984208,1.799254172838295,0.8217193442550272,1.0772465120011234,Brent 014,46400,69.77680204903038,1503.0
E02000107,1.7551950949034296,1.0298355805269783,1.1306362427880625,0.6816697528172042,0.8990854784004746,0.7871473008444103,0.9880275559051379,Brent 015,50600,59.16955017301038,1021.0
E02000108,1.4701018801447099,1.3418589026502068,2.007616702411499,1.1638542100775342,0.6638100142434309,0.575361806755891,1.1633907675921413,Brent 016,50900,70.63359034528997,299.0
E02000109,0.5736022514493199,0.6917513998145032,1.1818648325505787,0.9765093104451557,2.156098390013596,0.9919112825407553,1.0691611517408472,Brent 017,52500,75.82049564634963,1680.0
E02000110,1.8341601287654519,0.9658415770994949,0.914791384212032,1.0317834223571456,1.4979561830851762,0.717006777599597,0.9904586167867641,Brent 018,52600,53.666374525270236,530.0
E02000111,1.0579991272912412,1.2674670809504445,2.0853308973435567,1.2187752566728982,1.1844726108992059,0.5267843168990239,1.313887816096612,Brent 019,47800,69.32341480694298,775.0
E02000112,0.5467527843602028,0.8830868933802166,0.7663115668353678,0.8038730416353157,1.8158734793888918,1.0292490045554192,1.1007521884689406,Brent 020,50200,76.07856892318485,1175.0
E02000113,0.7131821954076801,1.0812455272411416,0.8611712853150567,1.1037566886995138,1.7847263249291359,0.9258168019051012,1.0924846081818953,Brent 021,40900,81.29432624113475,1126.0
E02000114,1.078251619672925,1.2985946855723525,1.1668819100658891,1.0169968969957206,1.0150861318890974,0.7662810261789039,1.1644598500172343,Brent 022,50400,64.65207448546226,831.0
E02000115,1.6484475730874357,0.7999846120303777,0.8376450640447071,0.5072775638676132,1.2658111878749099,1.0771360321082382,0.7278327089315626,Brent 023,50600,45.73732718894009,882.0
E02000116,0.7700354525732399,1.0478936251028297,1.7723330663561083,1.2212045345103648,1.523637622252706,0.6754232010348911,1.2882276740020473,Brent 024,43400,67.8916827852998,977.0
E02000117,0.7659973509414798,1.0428970582608388,2.647574713003777,1.315585919444957,1.01467912060927,0.572421262985352,1.3567238035858926,Brent 025,38400,62.36786469344609,1247.0
E02000118,1.0302930074144367,0.843131900050918,0.8314091329931277,0.5508387951138627,1.5463233624732278,0.9708739860268557,1.042422737388466,Brent 026,48900,77.36670293797606,722.0
E02000119,0.7879409504782154,1.2217359146355902,1.9821726640734956,1.3007542438992932,0.5071524791976335,0.6991255783217657,1.308362765123656,Brent 027,39000,68.53932584269663,1223.0
E02000120,1.2173124581560806,0.8777510209126625,0.6045089567180647,0.8510819953710411,1.673981119755621,0.9282877410377733,1.0127027461704292,Brent 028,51900,55.34271176294523,993.0
E02000121,0.6216868818065308,1.154184552928699,1.5459309733717523,0.8731187926942017,0.871478350203231,0.8821925292668967,1.2010520753465463,Brent 029,51400,83.5058907533024,911.0
E02000122,1.924145991959832,0.9689902876779032,0.6288449204051583,1.3540560654209446,0.7722925846645364,0.8592167663000744,0.8920906743713705,Brent 030,54700,43.720441408302676,514.0
E02000123,0.7110072177335396,0.9543521759790653,2.363215922509308,0.9513429702439353,1.0710103384013256,0.6993358062467834,1.2961661455223379,Brent 031,44000,68.51780926847951,2247.0
E02000124,1.7192716903387288,0.9119133330887987,0.8043699688098802,0.5149201636998938,0.9811824574939979,0.9985342135489884,0.8129095889936974,Brent 032,53700,44.78296036667565,1062.0
